카테고리,바코드,제조사,상품명,제품 재질 1,제품 재질 2,제품 재질 3
요구르트,8801104943680,빙그레,빙그레_요플레제주감귤_85G*4,플라스틱,비닐류,
요구르트,8801753110976,연세대학교연세우유,연세_딸기요거트_300ML,종이류,,
요구르트,8801069217987,남양유업,남양유업 마시는불가리스플레인 150ml*4,플라스틱,,
요구르트,8809274510091,풀무원다논,풀무원 아이러브 플레인 80g*4,플라스틱,비닐류,
요구르트,8809274510152,풀무원다논,풀무원 아이러브 요거트 딸기 80g*4,플라스틱,비닐류,
요구르트,8809274515362,풀무원다논,풀무원다논 액티비아더블액션골드키위 80G*4입,플라스틱,비닐류,
요구르트,8801069225098,남양유업,남양유업 마시는불가리스딸기기획 150ml*8,플라스틱,,
요구르트,8801115223894,서울우유협동조합,서울우유  짜요짜요 망고바나나40g*6,비닐류,,
우유,8801115111054,서울우유협동조합,서울우유 흰우유 2.3L,플라스틱,,
우유,8801115114154,서울우유협동조합,서울우유 흰우유 1000ml,종이류,,
우유,8801115114611,서울우유협동조합,서울우유 후레쉬밀크기획 900ml*2,종이류,,
우유,8801069221397,남양유업,남양유업 맛있는우유GT기획 900ml*2,종이류,,
우유,8801115118374,서울우유협동조합,서울우유 저지방우유기획 2입 1000ml*2,종이류,,
우유,8801115111030,서울우유협동조합,서울우유 흰우유 1800ml,플라스틱,,
우유,8801104220453,빙그레,빙그레 바나나우유 240ml*4,플라스틱,,
우유,8801115114260,서울우유협동조합,서울우유 목장신선우유,플라스틱,,
우유,8801104674874,빙그레,빙그레)딸기라이트80G*4,플라스틱,비닐류,
우유,8801123101184,푸르밀,푸르밀 생과즙바나나우유 225ml*4,플라스틱,,
우유,8801115132134,서울우유협동조합,서울우유 포리커피우유 200ml*4,비닐류,,
우유,8801121102398,매일유업,매일유업 소화잘되는우유 930ml,종이류,,
우유,8801115117018,서울우유협동조합,서울우유 유기농우유 700ml,플라스틱,,
우유,8801121020968,매일유업,매일 후레쉬 오리지널우유 기획 900ML*2,종이류,플라스틱,
우유,8801121752197,매일유업,매일유업 소화가잘되는저지방우유 930ml,종이류,,
우유,8801121772874,매일유업,매일 후레쉬 오리지널 우유 900ML,종이류,플라스틱,
우유,8801115114673,서울우유협동조합,서울 밀크랩 속편한 저지방우유기획,종이류,플라스틱,
우유,8801115118213,서울우유협동조합,서울우유 저지방우유 1800ml,플라스틱,,
우유,8801155721992,동원에프앤비,동원덴마크_소화가잘되는우유_900ML*2,종이류,,
우유,8801155722555,동원에프앤비,동원덴마크_소화가잘되는우유_2.3L,플라스틱,,
우유,8801115118183,서울우유협동조합,서울우유 저지방우유 1000ml,종이류,플라스틱,
우유,8801069173603,남양유업,남양유업 맛있는우유GT 900ml,종이류,,
우유,8801115114031,서울우유협동조합,서울우유 흰우유 200ml*3,종이류,,
우유,8801121109618,매일유업,매일유업 상하목장유기농우유 750ml,플라스틱,,
우유,8801121023938,매일유업,매일유업 상하목장 후레쉬팩 유기농 우유 900ml,종이류,플라스틱,
우유,8801526141176,부산경남우유협동조합,부산우유_바나나가득_200ML,종이류,,
우유,8801115114123,서울우유협동조합,서울_우유_200ml*3,종이류,,
우유,88002798,빙그레,빙그레 바나나우유 240ml,플라스틱,,
우유,8801115114130,서울우유협동조합,서울우유 흰우유 500ml,종이류,,
우유,8801115114338,서울우유협동조합,서울우유 목장신선저지방우유,플라스틱,,
